Designator,Mid X,Mid Y,Layer,Rotation
D1,14.0mm,88.25mm,Bottom,0.0
D2,7.75mm,88.25mm,Bottom,0.0
D3,85.5mm,83.75mm,Bottom,180.0
D4,79.1mm,83.75mm,Bottom,0.0
R1,81.0mm,78.5mm,Bottom,90.0
R2,83.75mm,78.51mm,Bottom,90.0
R5,34.75mm,4.75mm,Bottom,90.0
R6,33.75mm,4.75mm,Bottom,90.0
U1,5.5mm,53.25mm,Bottom,0.0
U2,5.5mm,59.25mm,Bottom,0.0
U5,5.5mm,41.25mm,Bottom,0.0
U6,5.475mm,47.385mm,Bottom,0.0
D5,12.5mm,29.0mm,Top,90.0
D6,17.5mm,29.0mm,Top,90.0
D7,10.0mm,29.0mm,Top,90.0
D8,15.0mm,29.0mm,Top,90.0
J1,94.05mm,86.05mm,Top,90.0
J2,14.5mm,51.25mm,Top,270.0
J3,34.0mm,3.75mm,Top,0.0
R3,22.75mm,45.5mm,Top,270.0
R4,25.0mm,45.51mm,Top,270.0
R7,24.25mm,31.75mm,Top,270.0
R8,26.75mm,31.75mm,Top,270.0
R9,25.5mm,31.75mm,Top,270.0
R10,28.0mm,31.75mm,Top,270.0
U3,13.0mm,78.25mm,Top,90.0
U4,83.0mm,78.0mm,Top,90.0
R147,33.825001mm,37.075002mm,Bottom,90.0
R146,64.475001mm,46.975002mm,Bottom,270.0
R141,61.925001mm,22.225001999999996mm,Bottom,0.0
U102,54.640501mm,41.689402mm,Bottom,90.0
R109,32.425001mm,26.225001999999996mm,Bottom,0.0
R108,67.264401mm,27.449602mm,Bottom,180.0
Q103,32.798401000000005mm,27.337002mm,Top,180.0
Q102,32.75370100000001mm,29.370801999999998mm,Bottom,90.0
Q101,70.775001mm,26.230002mm,Bottom,90.0
Q100,67.42500100000001mm,25.170001999999997mm,Bottom,270.0
L100,64.025001mm,27.075001999999998mm,Bottom,0.0
F100,32.125001000000005mm,35.225002mm,Bottom,270.0
C120,58.125001000000005mm,41.575002mm,Bottom,270.0
C107,56.821401mm,41.675002mm,Bottom,90.0
C106,52.527601000000004mm,40.693302mm,Bottom,270.0
U110,65.125001mm,31.875002mm,Bottom,180.0
R145,61.725001000000006mm,28.975002mm,Bottom,0.0
R144,63.725001000000006mm,28.975002mm,Bottom,180.0
R143,71.128201mm,46.743802mm,Bottom,90.0
R107,58.800001mm,28.975002mm,Top,90.0
D108,63.650001mm,26.625002000000002mm,Top,270.0
C233,37.624901mm,54.975001999999996mm,Bottom,90.0
U107,60.125001000000005mm,26.475001999999996mm,Top,270.0
U106,32.924901000000006mm,23.475001999999996mm,Bottom,0.0
C134,62.325001mm,26.675002mm,Top,270.0
C126,34.824901000000004mm,23.875002000000002mm,Bottom,90.0
VD103,32.924901000000006mm,41.350002mm,Bottom,270.0
VD102,32.724901mm,45.133302mm,Bottom,270.0
VD101,32.724901mm,48.916702mm,Bottom,270.0
VD100,32.724901mm,52.700002mm,Bottom,270.0
U109,32.625001000000005mm,53.075002mm,Top,270.0
U108,32.625001000000005mm,49.175002mm,Top,270.0
U103,66.144901mm,40.050002mm,Bottom,90.0
U100,68.274901mm,32.974502mm,Top,270.0
U285,63.725001000000006mm,51.875001999999995mm,Top,180.0
U280,60.625001000000005mm,51.875001999999995mm,Top,0.0
U275,70.025001mm,51.875001999999995mm,Top,180.0
U270,66.92500100000001mm,51.875001999999995mm,Top,0.0
U195,61.225001000000006mm,47.625001999999995mm,Top,270.0
U190,43.225001000000006mm,49.525002mm,Top,0.0
U185,68.325001mm,47.625001999999995mm,Top,270.0
U180,49.025001mm,49.525002mm,Top,0.0
U175,54.825001mm,49.525002mm,Top,0.0
U170,37.425001mm,49.525002mm,Top,0.0
S101,32.225001000000006mm,31.875002mm,Top,270.0
S100,32.225001000000006mm,37.675002mm,Top,90.0
R140,33.524901mm,56.375002mm,Bottom,180.0
R111,71.025001mm,42.825002mm,Bottom,0.0
R112,71.025001mm,41.775002mm,Bottom,0.0
R117,71.025001mm,36.525002mm,Bottom,0.0
R115,71.025001mm,38.625001999999995mm,Bottom,0.0
R116,71.025001mm,37.575002mm,Bottom,0.0
R114,71.025001mm,39.675002mm,Bottom,0.0
R113,71.025001mm,40.725002mm,Bottom,0.0
R110,71.025001mm,43.875001999999995mm,Bottom,0.0
R120,34.625001000000005mm,33.775002mm,Bottom,270.0
R100,71.324901mm,32.975002mm,Bottom,270.0
R258,36.124901mm,56.975001999999996mm,Bottom,90.0
R255,71.325001mm,58.275002mm,Bottom,90.0
R256,36.124901mm,54.975001999999996mm,Bottom,270.0
R254,71.325001mm,56.325002mm,Top,90.0
R257,39.425001mm,57.825002mm,Bottom,180.0
R245,44.224901mm,57.825002mm,Bottom,180.0
R236,49.024901mm,57.825002mm,Bottom,180.0
R227,53.825001mm,57.825002mm,Bottom,180.0
R209,63.425001mm,57.825002mm,Bottom,180.0
R200,68.224901mm,57.825002mm,Bottom,180.0
R197,61.224901mm,46.175002mm,Bottom,0.0
R196,61.225001000000006mm,49.075002mm,Bottom,180.0
R195,58.374901mm,49.575002mm,Bottom,90.0
R191,44.674901000000006mm,49.525002mm,Bottom,90.0
R190,41.774901mm,49.525002mm,Bottom,270.0
